300
('O', (2, 5), (2, 4)), 284.9995067080017
('O', (1, 5), (1, 4)), 291.175924268995
('X', (1, 3), (2, 3)), 270.74935428200115
('X', (0, 3), (1, 3)), 282.3521408139932
('O', (3, 5), (2, 5)), 256.9958310689981
('O', (3, 2), (2, 2)), 273.1238444329938
('X', (0, 2), (1, 2)), 244.1456866189983
('O', (3, 3), (3, 2)), 264.29998056399927
('O', (4, 3), (3, 3)), 230.6883927040035
('O', (4, 2), (4, 3)), 255.17440802700003
('X', (0, 5), (1, 5)), 218.5000590990021
('X', (0, 1), (0, 2)), 246.35049370100023
('O', (4, 0), (4, 1)), 207.574607343995
('X', (3, 1), (3, 0)), 237.14818826100236
('X', (1, 1), (2, 1)), 197.19555237899476
('X', (1, 0), (2, 0)), 228.32445915500284
('O', (5, 0), (5, 1)), 187.33528419499635
('O', (4, 0), (5, 0)), 219.50061205500242
('X', (0, 0), (0, 1)), 177.96835532599653
('O', (1, 0), (1, 1)), 210.67667019899818
('X', (4, 0), (3, 1)), 169.06956465399708
